Case Number,Date,Year,Country,Activity,Sex,Age,Fatal (Y/N),Time,Species
1966.09.18,18-Sep-1966,1966.0,AUSTRALIA,Fishing,M,,,,Invalid
1966.09.13,13-Sep-1966,1966.0,AUSTRALIA,Fishing,M,,U,Late afternoon,
1966.09.10,10-Sep-1966,1966.0,AUSTRALIA,Fishing,M,43,N,12h00,"Mako shark, 1.9 m [6.5'] "
1966.09.08.b,8-Sep-1966,1966.0,USA,Fishing,M,14,N,,"Nurse shark, 2.5' "
1966.09.00,Sep- 1966,1966.0,BAHAMAS,Diving,M,,,,Invalid
1966.08.28,28-Aug-1966,1966.0,AUSTRALIA,,M,,N,,
1966.08.27.b,27-Aug-1966,1966.0,SOUTH AFRICA,Netting sharks,M,,,,Invalid
1966.08.27.a,27-Aug-1966,1966.0,BAHAMAS,Diving,F,18,N,17h00,
1966.08.21.b,23-Aug-1966,1966.0,NEW BRITAIN,Swimming,F,13,Y,Midday,A pack of 6 sharks
1966.08.21.a,23-Aug-1966,1966.0,NEW BRITAIN,Diving,F,9,Y,Midday,A pack of 6 sharks
1966.08.16,16-Aug-1966,1966.0,CROATIA,Swimming,M,33,Y,,White shark
1966.08.14,14-Aug-1966,1966.0,TAIWAN,Diving,M,,N,17h30,1.5 m to 2.1 m  [5' to 7'] shark
1966.08.13,13-Aug-1966,1966.0,ITALY,Attacked shark with fists,M,21,N,,"""small shark"""
1966.08.00.b,Mid Aug-1966,1966.0,USA,Fishing,M,26,,17h00,Invalid
1966.08.00.a,Aug-1966,1966.0,USA,Wading,M,8,N,15h00,Spinner or blacktip sharks
1966.07.31,31-Jul-1966,1966.0,USA,Diving,M,16,N,,Lemon shark or sandtiger shark
1966.07.19,19-Jul-1966,1966.0,USA,Killing a shark,M,34,N,18h40,4' shark
1966.07.17.b,17-Jul-1966,1966.0,USA,Fishing,M,14,N,15h00,
1966.07.17.a,17-Jul-1966,1966.0,TAIWAN,Swimming,M,20,Y,,
1966.07.14,14-Jul-1966,1966.0,PAPUA NEW GUINEA,Swimming,F,25,Y,,
1966.07.03,03-Jul-1966,1966.0,USA,Diving,M,46,,07h00,Invalid
1966.07.02,02-Jul-1966,1966.0,CARIBBEAN SEA,,,,N,,
1966.06.22,22-Jun-1966,1966.0,USA,Clamming,M,15,N,16h00,"Local authorities speculated that the water was too cold for sharks, but a 2.1 m [7'], 200-lb pregnant sandbar shark was caught next day"
1966.06.11,11-Jun-1966,1966.0,USA,Fishing,M,18,N,09h00,1.2 m [4'] hammerhead shark
1966.06.04,04-Jun-1966,1966.0,USA,Swimming,M,18,N,17h00,a small shark
1966.06.02,02-Jun-1966,1966.0,FRENCH POLYNESIA,Fishing,M,,N,Afternoon,
1966.05.20.c,20-May-1966,1966.0,AUSTRALIA,Sinking of the dredge World Atlas,M,40,Y,Night,
1966.05.20.b,20-May-1966,1966.0,AUSTRALIA,Fishing,M,,N,01h00,1.8 m [6'] shark
1966.05.20.a,20-May-1966,1966.0,AUSTRALIA,Fishing,M,38,Y,Dark,Believed white shark and other smaller species of sharks involved.
1966.05.16.b,16-May-1966,1966.0,USA,Fishing,M,24,,14h00,Invalid
1966.05.16.a,16-May-1966,1966.0,PHILIPPINES,Fishing,M,,Y,,
1966.04.08,08-Apr-1966,1966.0,USA,Swimming,M,25,N,16h30,
1966.04.00,Apr-1966,1966.0,AUSTRALIA,Overturned skiff,M,,N,,
1966.03.20,20-Mar-1966,1966.0,AUSTRALIA,Fishing,,,N,,"Alleged to involve a White shark, 7.6 m [25'] "
1966.03.12,14-Mar-1966,1966.0,SUDAN,Fishing,M,,Y,,
1966.02.27,27-Feb-1966,1966.0,AUSTRALIA,Treading water,M,13,N,14h00,"White shark, 2.5 m [8.25'], an immature female, previously injured"
1966.01.29,29-Jan-1966,1966.0,SOUTH AFRICA,Helping men land a shark,M,33,N,Afternoon,Copper shark
1966.01.25,25-Jan-1966,1966.0,INDONESIA,Fishing,,,Y,,
1966.01.22,22-Jan-1966,1966.0,USA,Fishing,M,29,N,10h00 / 11h00,"White shark, 3 m [10'] "
1966.01.15,15-Jan-1966,1966.0,AUSTRALIA,Fishing,M,30,N,,"Wobbegong shark, 5' "
1966.01.14,14-Jan-1966,1966.0,COLUMBIA,Colombian  (Avianca) DC-4 airliner plunged into the sea 5 minutes after takeoff,,,Y,,Shark involvement not confirmed
1966.01.11,11-Jan-1966,1966.0,SOUTH AFRICA,Standing,M,16,N,09h00,1.5 m to 1.8 m [5' to 6'] Zambesi shark
1966.01.10,10-Jan-1966,1966.0,AUSTRALIA,Jumped into the water,M,43,N,,76 cm [2.5'] carpet shark
1966.01.09,09-Jan-1966,1966.0,SOUTH AFRICA,Surfing,M,15,N,14h00,"1.8 m to 2 m [6' to 6'9""] shark"
1966.01.08,08-Jan-1966,1966.0,NEW ZEALAND,Surfing,F,15,Y,15h30,
1966.01.05,05-Jan-1966,1966.0,USA,Swimming,M,35,N,16h00,Hammerhead shark
1966.00.00,Summer of 1996,1966.0,USA,Walking,F,15,,"""After lunch""",Shark involvement not confirmed
1965.12.28,28-Dec-1965,1965.0,AUSTRALIA,Fishing,M,40,N,,1.8 m [6'] carpet shark
1965.12.19,19-Dec-1965,1965.0,JOHNSTON ISLAND,Diving,M,,N,14h00,Grey reef shark
1965.12.10,10-Dec-1965,1965.0,AUSTRALIA,Fishing,,,N,10h30,15' shark
1965.11.21.b,21-Nov-1965,1965.0,AUSTRALIA,Fishing,M,43,Y,,4.6 m [15'] shark
1965.11.21.a,21-Nov-1965,1965.0,PACIFIC OCEAN ,"Hauling dead shark aboard, when another shark leapt out of the water & bit him",M,44,N,23h30,
1965.11.03.b,03-Nov-1965,1965.0,PANAMA,Argentine Air Force C-54,,,,07h32,Shark involvement not confirmed
1965.11.03.a,03-Nov-1965,1965.0,AUSTRALIA,Surfing,M,24,N,16h30,"Grey nurse shark, 2.4 m [8'] "
1965.10.21,21-Oct-1965,1965.0,,Fishing,M,39,N,,
1965.10.16.b,16-Oct-1965,1965.0,BAHAMAS,Bathing,M,32,N,,"1.8 m [6'], 180-lb shark"
1965.10.16.a,16-Oct-1965,1965.0,BAHAMAS,Playing in the water,F,,Y,,"1.8 m [6'], 180-lb shark"
1965.10.10,10-Oct-1965,1965.0,NEW BRITAIN,Fishing,M,15,Y,,2 sharks involved
1965.10.00,Oct-1965,1965.0,PAPUA NEW GUINEA,Wading,M,27,N,,
1965.09.21,21-Sep-1965,1965.0,PAPUA NEW GUINEA,Fishing,M,,N,,"""small shark"""
1965.09.12,12-Sep-1965,1965.0,PAPUA NEW GUINEA,Fishing,M,,N,14h00,0.9 m [3'] shark
1965.09.08,08-Sep-1965,1965.0,MEXICO,,M,23,N,18h00,300-kg [662-lb] shark
1965.08.30,30-Aug-1965,1965.0,PHILIPPINES,"Arsinoe, a French tanker",M,,,,Shark involvement not confirmed
1965.08.26,26-Aug-1965,1965.0,USA,Swimming,M,15,N,17h30,
1965.07.30,30-Jul-1964,1965.0,BAHAMAS,Attempting to anesthetize shark,M,,N,,"Lemon shark, 0.5 m"
1965.07.26,26-Jul-1965,1965.0,MEXICO,Bathing,M,25,Y,17h00,
1965.07.02.R,Reported 02-Jul-1965,1965.0,BERMUDA,,,,N,,
1965.06.19,19-Jun-1965,1965.0,USA,Wading,M,6,,,Questionable incident
1965.06.18,18-Jun-1965,1965.0,USA,Diving,M,,,,Invalid
1965.06.09,09-Jun-1965,1965.0,MEXICO,Swimming,M,38,N,14h00,
1965.06.00.b,Jun-1965,1965.0,PAPUA NEW GUINEA,Fishing,M,,N,,
1965.06.00,Jun-1965,1965.0,SOUTH PACIFIC OCEAN,Treading water,M,,Y,Morning, 
1965.05.29,29-May-1965,1965.0,MEXICO,Swimming,M,,Y,12h00,
1965.05.28,28-May-1965,1965.0,MEXICO,Swimming,M,,Y,,
1965.05.00.c,May-Jun-1965,1965.0,EGYPT,Standing,M,,N,,
1965.05.00.b,May 1965,1965.0,JAMAICA,Diving,M,,N,,
1965.05.00.a,May 1965,1965.0,MEXICO,Swimming,M,35,N,,
1965.04.29,29-Apr-1965,1965.0,USA,,M,49,N,15h00,Bull shark
1965.04.25,25-Apr-1965,1965.0,USA,Surfing,M,19,,16h00,Invalid
1965.04.10,10-Apr-1965,1965.0,USA,Fishing,M,28,N,11h00,"White shark, 10' to 12' "
1965.04.04.b,04-Apr-1965,1965.0,PALAU,Walking on reef,M,8,N,15h30,"Tiger shark, tooth fragment recovered"
1965.04.04.a,04-Apr-1965,1965.0,USA,Surfing,M,17,N,07h15,Blacktip or spinner shark
1965.03.23,23-Mar-1965,1965.0,USA,Aircraft exploded,M,,,11h30,Shark involvement prior to death was not confirmed
1965.03.14,14-Mar-1965,1965.0,USA,Diving,M,16,N,13h30,Mako shark
1965.02.14,14-Feb-1965,1965.0,SOUTH AFRICA,Treading water,M,25,N,15h00 or 15h45,"1.8 m [6'], 136-kg [300-lb] shark "
1965.02.04,04-Feb-1965,1965.0,USA,Diving,M,18,N,14h30,1.2 m [4'] shark
1965.01.25,25-Jan-1965,1965.0,USA,Fishing,M,21,,,Shark involvement prior to death was not confirmed
1965.01.23,23-Jan-1965,1965.0,SOUTH AFRICA,Paddling rescue ski,M,22,N,13h00,"White shark, 3.7 m [12'] "
1965.01.16,16-Jan-1965,1965.0,SOUTH AFRICA,Surfing,M,20,N,16h40,
1965.01.10,10-Jan-1965,1965.0,AUSTRALIA,Swimming,M,,N,,1.5 m [5'] shark
1965.01.09,09-Jan-1965,1965.0,NEW GUINEA,Diving,M,30,Y,,4.9 m [16'] whaler
1965.00.00.g,Summer 1965,1965.0,USA,Dangling feet in the water,M,13,N,,
1965.00.00.f,1965,1965.0,USA,Surfing,M,Teen,N,,
1965.00.00.e,Early 1965,1965.0,USA,Collecting marine specimens,M,,N,,"Nurse shark, 0.94 m to 1.2 m [3' to 4'] "
1965.00.00.d,May-Jun-1965,1965.0,RED SEA,Standing,M,,N,,Small shark with white-tipped dorsal fin
1965.00.00.c,May-Jun-1965,1965.0,EGYPT,Fishing,M,25 to 35,N,,"1.5 m to 2.1 m [5' to 7'] shark, possibly a mako shark"
1965.00.00.b,1965,1965.0,VANUATU,,M,,Y,,
1965.00.00.a,Ca. 1965,1965.0,SOUTH AFRICA,Bathing,,,,,Questionable incident
1964.12.25,25-Dec-1964,1964.0,SOUTH AFRICA,Swimming,M,19,N,17h00,Raggedtooth shark 
1964.12.10.b,10-Dec-1964,1964.0,PAPUA NEW GUINEA,,M,,N,,
1964.12.10.a,10-Dec-1964,1964.0,AUSTRALIA,Fishing,,,N,10h30,4.6 m [15'] shark
1964.12.09,09-Dec-1964,1964.0,PAPUA NEW GUINEA,Swimming,M,28,N,Late afternoon,2.1 m [7'] shark
1964.12.06,06-Dec-1964,1964.0,KENYA,Fishing,M,10,Y,,
1964.11.29,29-Nov-1964,1964.0,AUSTRALIA,Diving,M,25,N,14h30,"White shark, 2.4 m [8'] "
1964.11.18,18-Nov-1964,1964.0,AUSTRALIA,Swimming,M,29,Y,13h30,
1964.11.13,13-Nov-1964,1964.0,AUSTRALIA,"Filming underwater, carrying powerhead",M,25,N,,"White shark, 2.7 m [9'1""], 750-lb "
1964.11.05,05-Nov-1964,1964.0,USA,Fishing,,,N,18h00,Mako shark
1964.10.31,31-Oct-1964,1964.0,SOUTH AFRICA,Fishing,M,,N,,
1964.10.25,25-Oct-1964,1964.0,USA,Fishing,,,,Night,Invalid
1964.10.04,04-Oct-1964,1964.0,AUSTRALIA,Surfing,M,19,N,09h30,"Grey nurse shark, 1.8 m [6']"
1964.09.27,27-Sep-1964,1964.0,,Fishing,M,24,,11h00,Shark involvement prior to death was not confirmed
1964.09.20,20-Sep-1964,1964.0,TAIWAN,Swimming,M,32,Y,14h00,
1964.09.07,07-Sep-1964,1964.0,TAIWAN,Swimming,M,20,N,13h30,1.8 m [6'] shark
1964.08.26,26-Aug-1964,1964.0,USA,Swimming,M,14,N,14h30,
1964.08.23,23-Aug-1964,1964.0,MEXICO,Floating,M,19,N,14h00,1.8 to 2.4 m [6' to 8'] shark
1964.08.22,22-Aug-1964,1964.0,USA,Fishing,M,18,,11h30,Invalid
1964.08.21,21-Aug-1964,1964.0,USA,Swimming,M,,N,11h30,3' shark
1964.08.08,08-Aug-1964,1964.0,USA,Fishing,M,28,N,12h00,Hammerhead shark
1964.08.03,03-Aug-1964,1964.0,JAPAN,Swimming,M,12,N,,
1964.08.00,Aug-1964,1964.0,PANAMA,Fishing,M,21,N,,Less than 1.2 m [4']
1964.07.27,27-Jul-1964,1964.0,USA,,M,22,N,11h00,Nurse shark
1964.07.16,16-Jul-1964,1964.0,SOUTH AFRICA,Searching for remains of  Dr. Marais,M,30,N,,Zambesi shark
1964.07.15,15-Jul-1964,1964.0,USA,"Yacht Gooney Bird foundered, 4 survivors on raft",,,,,Invalid
1964.07.10,10-Jul-1964,1964.0,SOUTH AFRICA,Fishing,M,52,Y,,
1964.07.08,08-Jul-1964,1964.0,USA,Tagging sharks,M,,N,,white shark
1964.07.00.b,Jul-1964,1964.0,PAPUA NEW GUINEA,Fishing,M,,Y,,
1964.07.00.a,Jul-1964,1964.0,PAPUA NEW GUINEA,canoeing,,,N,,
1964.06.29.a,29-Jun-1964,1964.0,BERMUDA,Conducting a promotional film project for the Gemini space program (a practice astronaut recovery),,,Y,,
1964.06.28,28-Jun-1964,1964.0,USA,Swimming,F,29,,Night,Shark involvement prior to death was not confirmed
1964.06.24,24-Jun-1964,1964.0,USA,Fishing,,,N,,2.1 m [7'] shark
1964.06.17,17-Jun-1964,1964.0,PAPUA NEW GUINEA,Fishing,M,,N,,2.4 m [8'] shark
1964.06.23,23-Jun-1964,1964.0,FIJI,Fishing,M,23,N,,
1964.06.02,02-Jun-1964,1964.0,SOUTH AFRICA,Swimming,M,40,,>17h00,Shark involvement prior to death was not confirmed
1964.05.30,30-May-1964,1964.0,PANAMA,Standing,M,47,N,,Lemon shark 
1964.05.08,08-May-1964,1964.0,FIJI,Fishing,M,35,Y,11h30,Tiger shark
1964.05.00,May 1964,1964.0,PANAMA,Diving,M,13,Y,,1.8 m [6'] shark
1964.04.07,07-Apr-1964,1964.0,PAPUA NEW GUINEA,Fishing,M,,Y,,
1964.03.28.b,28-Mar-1964,1964.0,AUSTRALIA,Surfing,M,19,N,,1.8 m [6'] shark
1964.03.28.a,28-Mar-1964,1964.0,PAPUA NEW GUINEA,"Canoe capsized with 10 occupants, 8 survived,  Hamilton swam off to seek help",M,32,Y,Midnight,
1964.03.05,05-Mar-1964,1964.0,USA,Diving,M,38,N,16h00,1.7 m [5.5'] shark
1964.03.00,Mar-1964,1964.0,SENEGAL,Diving,M,,N,,3 m shark
1964.02.17.R,Reported 17-Feb-1964,1964.0,FIJI,Fishing,,,N,,"Tiger shark, 3.5 m, 250-lb female"
1964.02.14.b,14-Feb-1964,1964.0,NEW CALEDONIA,Diving,M,15,Y,,
1964.02.14.a,14-Feb-1964,1964.0,FIJI,Fishing,M,17,Y,10h30,
1964.02.11,11-Feb-1964,1964.0,NEW ZEALAND,Diving,M,,N,12h00,
1964.02.10,10-Feb-1964,1964.0,NEW ZEALAND,Fishing,M,26,N,18h30,"White shark, 3 m [10'] "
1964.02.08,08-Feb-1954,1964.0,SOUTH AFRICA,Body boarding,M,25,N,08h45,"White shark, 1.5 m [5'] k"
1964.02.05.b,05-Feb-1964,1964.0,NEW ZEALAND,Lying in 2 feet of water,M,,N,,"""sand shark"""
1964.02.05.a,05-Feb-1964,1964.0,NEW ZEALAND,Swimming,M,19,Y,06h45,"White shark, 3 m to 3.7 m [10' to 12'] "
1964.02.02,02-Feb-1964,1964.0,AUSTRALIA,Swimming,M,23,,09h30,Shark involvement prior to death was not confirmed
1964.02.01,01-Feb-1964,1964.0,NEW ZEALAND,Rowing,,,N,12h00,1.8 m [6'] shark
1964.02.00.b,Feb-1964,1964.0,USA,Floating,M,12,N,,Hammerhead shark
1964.02.00.a,Feb-1964,1964.0,COSTA RICA,Swimming,M,,Y,,
1964.01.27,27-Jan-1964,1964.0,FIJI,Fishing,,,Y,,
1964.01.23,23-Jan-1964,1964.0,SOUTH AFRICA,Surfing,M,39,N,16h00,
1964.01.22,22-Jan-1964,1964.0,SOUTH AFRICA,Standing,M,17,N,11h00,
1964.01.21,21-Jan-1964,1964.0,SOUTH AFRICA,Shark watching,,,N,11h00,"White shark, 3.6 m [11'9""] "
1964.01.18,18-Jan-1964,1964.0,AUSTRALIA,Diving,M,,N,,Wobbegong
1964.01.11,11-Jan-1964,1964.0,USA,Fishing,M,21,N,12h00,White shark (tooth fragment recovered)
1964.01.06.R,Reported 06-Jan-1964,1964.0,PAPUA NEW GUINEA,Fishing,M,,Y,,Tiger shark
1964.01.04,04-Jan-1964,1964.0,FIJI,Swimming,F,20,N,15h00,
1964.01.01.b,01-Jan-1964,1964.0,AUSTRALIA,,,,U,,
1964.01.01.a,01-Jan-1964,1964.0,SOUTH AFRICA,Diving,M,,N,19h00 / 20h00,2.1 m to 2.4 m  [7' to 8'] shark
1964.01.00,Jan-1964,1964.0,NEW ZEALAND,Diving,M,,,07h30,Invalid
1963.12.29,29-Dec-1963,1963.0,SOUTH AFRICA,Standing,F,20,N,14h00,"Zambesi shark, 1.8 m [6'] "
1963.12.26.b,26-Dec-1963,1963.0,SOUTH AFRICA,Swimming,M,24,N,15h00,1.8 m [6']  shark
1963.12.26.a,26-Dec-1963,1963.0,AUSTRALIA,Fishing,M,,N,Dawn,"4.3 m [14'], 1000-lb shark"
1963.12.25,25-Dec-1963,1963.0,SOUTH AFRICA,Swimming,M,18,Y,15h45,
1963.12.22.b,22-Dec-1963,1963.0,ATLANTIC OCEAN,Fishing,F,,,,Invalid
1963.12.22.a,22-Dec-1963,1963.0,SOUTH AFRICA,Helping friend land hooked shark,M,13,N,18h30,"Dusky shark, 1 m "
1963.12.21,21-Dec-1963,1963.0,AUSTRALIA,Fishing,M,,N,,"Wobbegong shark, 3' "
1963.12.20.b,20-Dec-1963,1963.0,SOUTH AFRICA,Fishing,M,,N,12h00,"White shark, 1.7 m [5.5']"
1963.12.20.a,20-Dec-1963,1963.0,SOUTH AFRICA,Surfing,M,15,Y,12h40,300- to 400-lb Zambesi shark
1963.12.08,08-Dec-1963,1963.0,AUSTRALIA,Fishing,M,23,N,12h45,White shark
1963.12.04.R,04-Dec-1963,1963.0,NEW BRITAIN,Fishing,M,22,Y,,Tiger shark
1963.11.30.b,30-Nov-1963 ,1963.0,NEW ZEALAND,Treading water while alongside capsized yacht,M,20,N,13h00,Possibly a broadnose 7-gill shark
1963.11.30.a,30-Nov-1963,1963.0,PAPUA NEW GUINEA,Fishing,F,18,N,14h00,Tiger shark
1963.11.28,28-Nov-1963,1963.0,FIJI,Fishing,F,21,N,11h00,>1.2 m [4'] tiger shark
1963.11.25,25-Nov-1963,1963.0,FIJI,Fishing,M,25,N,14h00,
1963.11.16.R,Reported 16-Nov-1963,1963.0,ITALY,Fishing,M,28,N,,
1963.11.14,14-Nov-1963,1963.0,AUSTRALIA,Catching sharks under government contract,M,,N,,"White shark, 15'2"" "
1963.11.12,12-Nov-1963,1963.0,USA,Testing anti-shark cage,M,,N,11h40,"Silky shark, 1.9 m [6.5']"
1963.11.05.R,Reported 05-Nov-1963,1963.0,PAPUA NEW GUINEA,Wading,M,,N,,6' shark
1963.11.04,04-Nov-1963,1963.0,PALAU,Fishing,M,35,N,03h00,Dooley believed his Injury was caused by stingray (Dasyatidae family)
1963.10.16,16-Oct-1963,1963.0,USA,Fishing,M,28,N,17h30,500-lb shark
1963.10.15,15-Oct-1963,1963.0,NORTH PACIFIC OCEAN,Fishing,M,20,N,,
1963.09.29,29-Sep-1963,1963.0,CHILE,Fishing,M,,Y,11h00,"White shark, 4 m [13'] rk"
1963.09.26,26-Sep-1963,1963.0,USA,Fishing,,25,,,Invalid
1963.09.22,22-Sep-1963,1963.0,SOLOMON ISLANDS,Fishing,M,30,Y,13h00,5.5 m [18'] shark
1963.09.13,13-Sep-1963,1963.0,AUSTRALIA,Surfing,M,18,N,09h30,1.5 m [5'] shark
1963.09.10,10-Sep-1963,1963.0,USA,Fishing,M,16,N,13h30,"Nurse shark, 1.2 m [4'] "
1963.08.00,Aug-1963,1963.0,DOMINICAN REPUBLIC,Swimming,M,23 & 26,Y,,8 sharks
1963.07.28,28-Jul-1963,1963.0,FEDERATED STATES OF MICRONESIA,Fishing,M,26,N,08h00,Tiger shark
1963.07.15,15-Jul-1963,1963.0,USA,Bathing,M,14,N,Late afternoon,
1963.07.11,11-Jul-1963,1963.0,USA,Fishing,M,24,N,,1.2 m [4'] shark
1963.07.10.R,Reported 10-Jul-1963,1963.0,JAMAICA,Fishing,,,Y,,
1963.07.00,Jul-1963,1963.0,PANAMA,Standing,M,,Y,,
1963.06.01.b,01-Jun-1963,1963.0,GREECE,Swimming,F,42,Y,16h30,"White shark, 3 m "
1963.06.01.a,01-Jun-1963,1963.0,PAPUA NEW GUINEA,Fishing,M,30,N,Morning,1.8 m [6'] shark
1963.05.18,18-May-1963,1963.0,USA,Swimming,M,,,,Shark involvement not confirmed
1963.05.14,14-May-1963,1963.0,PHILIPPINES,Fishing,,,Y,,
1963.04.22,22-Apr-1963,1963.0,AUSTRALIA,Fishing,M,,N,,Grey nurse shark
1963.04.20,20-Apr-1963,1963.0,USA,Swimming,M,25,Y,13h50,"Hand found in gut of 2.9 m to 3.3 m [9'7"" to 10'11""] Galapagos shark, C. galapagensis"
1963.04.17,17-Apr-1963,1963.0,SOUTH AFRICA,Swimming,M,15,N,12h45,
1963.04.13,13-Apr-1963,1963.0,AUSTRALIA,Surfing,M,25,N,,1.8 m to 2.4 m  [6' to 8'] shark
1963.04.12,12-Apr-1963,1963.0,USA,Surfing,M,15,N,14h00,3.7 to 4.5 m [12' to 15'] shark seen in vicinity
1963.04.08,08-Apr-1963,1963.0,USA,Washed into sea while picking opihi,M,,,,Shark involvement prior to death was not confirmed
1963.03.30,30-Mar-1963,1963.0,SOLOMON ISLANDS,The 500-ton coastal trader Polurrian foundered ,M,,Y,Night,
1963.02.27,27-Feb-1963,1963.0,PAPUA NEW GUINEA,Swimming,M,,N,11h00,
1963.02.24,24-Feb-1963,1963.0,AUSTRALIA,Fishing,M,18,N,Afternoon,"Bronze whaler shark, 3 m [10'] "
1963.02.08,08-Feb-1963,1963.0,FIJI,Fishing,M,28,N,10h00,"White shark, 2.1 m [7'] "
1963.02.06,06-Feb-1963,1963.0,MAURITIUS,,M,24,N,,
1963.02.04,04-Feb-1963,1963.0,USA,"S.S. Marine Sulphur Queen, laden with molten sulphur was bound from Beaumont, Texas for Norfolk, VA, when she disappeared with 39 on board",M,,,,Shark involvement prior to death was not confirmed
1963.01.30,30-Jan-1963,1963.0,FIJI,Diving,M,41,N,,
1963.01.28,28-Jan-1963,1963.0,AUSTRALIA,Wading,F,32,Y,13h30,"Tooth fragments of whaler shark were recovered, a bull shark, according to Edwards"
1963.01.26,26-Jan-1963,1963.0,AUSTRALIA,Swimming,M,25,,16h30,Shark involvement prior to death was not confirmed
1963.01.22,22-Jan-1963,1963.0,SOUTH AFRICA,Fishing,,,N,,193-lb shark
1963.01.14,14-Jan-1963,1963.0,NEW ZEALAND,Fishing,,14,N,Afternoon,"Grey nurse shark, 1.8 m [6'] "
1963.01.12,12-Jan-1963,1963.0,SOUTH AFRICA,Fishing,M,,N,,<1.5 m shark
1963.01.11,11-Jan-1963,1963.0,SOUTH AFRICA,Fishing,M,27,N,12h15,1 m shark
1963.01.06,06-Jan-1963,1963.0,SOUTH AFRICA,Fishing,M,24,N,16h00,"Zambesi shark, 2 m [6'9""] "
1963.01.04,04-Jan-1963,1963.0,AUSTRALIA,Fishing,,,N,,"White shark, 16', 2,312-lb "
1963.01.00,Jan-1963,1963.0,MOZAMBIQUE,,,,N,,Zambesi shark
1963.00.00.b,Early 1963,1963.0,FIJI,,,,U,,
1963.00.00.a,1963,1963.0,SEYCHELLES,Fishing,M,,Y,,
1962.12.30,30-Dec-1962,1962.0,SOUTH AFRICA,Diving,M,,N,10h30,"Dusky shark, 1 m "
1962.12.09,09-Dec-1962,1962.0,AUSTRALIA,Fishing,M,16,Y,14h30,"White shark, 4.3 m [14'] (or bronze whaler)"
1962.12.00,Dec-1962,1962.0,SOUTH AFRICA,Fishing,,,N,,"2 m [6'9""], 87.5-kg [193-lb]  shark"
1962.11.29,29-Nov-1962,1962.0,AUSTRALIA,Fishing,M,26,N,,3 m [10'] shark
1962.11.25,25-Nov-1962,1962.0,AUSTRALIA,,M,,,,Shark involvement prior to death was not confirmed
1962.11.11,11-Nov-1962,1962.0,USA,Fishing,M,24,N,12h45 / 13h45,"White shark, 4.3 m to 4.9m [14' to 16']"
1962.11.10,10-Nov-1962,1962.0,AUSTRALIA,Fishing,,,N,,3 m [10'] blue whaler
1962.11.00,Nov-1962,1962.0,MID ATLANTIC OCEAN,Fishing,M,,N,06h00,
1962.10.28,28-Oct-1962,1962.0,SOUTH AFRICA,Fishing,M,30,N,15h00,
1962.10.25,25-Oct-1962,1962.0,MEXICO,Wading,M,32,Y,08h30,2.7 m [9'] shark
1962.10.15,15-Oct-1962,1962.0,ADMIRALTY ISLANDS,,M,26,N,,
1962.10.14,14-Oct-1962,1962.0,AUSTRALIA,Adrift after wave swamped engine,M,,N,,Grey nurse shark
1962.10.06,06-Oct-1962,1962.0,USA,Fishing,F,43,,,Shark involvement prior to death was not confirmed
1962.10.00,Oct-1962,1962.0,PANAMA,Sitting in shallows,M,1,Y,,
1962.09.30,30-Sep-1962,1962.0,BRITISH WEST INDIES,Fishing,M,24,N,14h30," Blacktip shark, C. maculipinnis. 1.9 m to 2.1 m [6.5' to 7'] "
1962.09.22,22-Sep-1962,1962.0,MEXICO,Swimming,M,20,N,15h00,
1962.09.13,13-Sep-1962,1962.0,SOUTH ATLANTIC OCEAN,Diving,M,29,Y,,
1962.09.02,02-Sep-1962 ,1962.0,ITALY,Fishing,M,28,Y,10h20,White shark
1962.08.31.R,Reported 31-Aug-1962,1962.0,ISRAEL,Fishing,M,,U,,2.5 m [8.25'] shark
"1962,08.30.b",30-Aug-1962,1962.0,TURKEY,,M,,N,,
1962.08.30.a,30-Aug-1962,1962.0,PAPUA NEW GUINEA,Fishing,M,49,N,Midday,"""A long thin brown-colored shark"""
1962.08.29,29-Aug-1962,1962.0,USA,Diving,M,39,N,08h30,"Horn shar,k Heterodontus francisci, 1.2 m [4'] "
1962.08.26,26-Aug-1962,1962.0,USA,,,,N,,
1962.08.23,23-Aug-1962,1962.0,SOUTH AFRICA,Fishing,,,N,12h00,4.3 m [14'] shark
1962.08.19,19-Aug-1962,1962.0,USA,Fishing,M,40,Y,15h30,Unknown
1962.08.12,12-Aug-1962,1962.0,USA,Standing,M,24,N,14h00 - 15h00,1.8 m [6'] shark
1962.08.01,01-Aug-1962,1962.0,PAPUA NEW GUINEA,Fishing,M,(adult),Y,17h00,
1962.08.00.b,Late Aug-1962,1962.0,ITALY,Diving,M,,N,,White shark
1962.08.00.a,Aug-1962,1962.0,SENEGAL,Beach seine netting,M,23,N,,3.5 m shark
1962.07.28,28-Jul-1962,1962.0,USA,Standing,M,21,N,,1.8 m to 2.4 m [6' to 8'] shark
1962.07.20,20-Jul-1962,1962.0,MADAGASCAR,Finning the shark,M,20,N,Morning,"2 m [6'9""] shark"
1962.07.19,19-Jul-1962,1962.0,USA,Fishing,M,19,N,16h30,Blue shark
1962.07.10,10-Jul-1962,1962.0,USA,Surfing,M,41,N,17h00,
1962.07.07,07-Jul-1962,1962.0,USA,Diving,M,13,N,14h10,
1962.07.03.R,Reported 03-Jul-1962,1962.0,GREECE,,,,,,Questionable incident
